kelime;anlam;lowercase;tokens;lemmas;stemmed
Şişek;Kuzu ile koyun arası dişi koyun Bizim iki şişeğimiz var.;arası kuzu iki şişeğimiz dişi bizim var ile koyun;arası bizim dişi iki koyun kuzu var şişeğimiz;arası bizim dişi iki koyun kuzu var şişeğimiz;ara biz diş ik koy kuz var şişek
Şivşirmek;Kışkırtmak.;kışkırtmak;kışkırtmak;kışkırtmak;kışkırtmak
Şoora;Şura;şura;şura;şura;şur
Şor;Laf;laf;laf;laf;laf
Taka;Tahta çardak;çardak tahta;tahta çardak;tahta çardak;tah çardak
Taktacı;Tahtacı;tahtacı;tahtacı;tahtacı;tahtaç
Taman;Dedim ya. Yaptım ya. Ben sana anahtarı verdim taman.;taman dedim verdim ben sana yaptım ya anahtarı;anahtarı ben dedim sana taman verdim yaptım;anahtarı ben dedim sana taman verdim yaptım;anahtar ben det san taman vert yapt
Taman;Hani bilirsin ya.;hani bilirsin ya;bilirsin hani;bilirsin hani;bilir hani
Tamaşa;Seyir.;seyir;seyir;seyir;seyir
Tandır;Üzerinde çörek pişen yassı taş;pişen yassı çörek taş üzerinde;pişen taş yassı çörek üzerinde;pişen taş yassı çörek üzerinde;pişen taş yass çörek üzer
Tantana;Boş laf.;boş laf;boş laf;boş laf;boş laf
Tapına düşmek;Denk düşmek.;denk düşmek;denk düşmek;denk düşmek;denk düşmek
Tapkı;Sopa.;sopa;sopa;sopa;sop
Tarpadan;Aniden.;aniden;aniden;aniden;ani
Taşkala;Dalga geçmek.;dalga geçmek;dalga geçmek;dalga geçmek;dalga geçmek
Tav;Kıvamına gelmek.;kıvamına gelmek;gelmek kıvamına;gelmek kıvamına;gelmek kıvam
Tavatır;Fek güzel.;güzel fek;fek güzel;fek güzel;fek güzel
Tavlak;Ceviz.;ceviz;ceviz;ceviz;cev
Tavlar;Üzerine kapkacak koymak için raflardan oluşan tezgah.;koymak kapkacak raflardan üzerine için oluşan tezgah;kapkacak koymak oluşan raflardan tezgah üzerine;kapkacak koymak oluşan raflardan tezgah üzerine;kapkacak koymak oluşan raf tezgah üzer
Tavlar;Mutfakta kap-kacak koymak için yapılmış raflar.;mutfakta raflar koymak yapılmış kap kacak için;kacak kap koymak mutfakta raflar yapılmış;kacak kap koymak mutfakta raflar yapılmış;kacak kap koymak mutfak raf yapıl
Tavlı;İyi besili.;besili i̇yi;besili i̇yi;besili i̇yi;besi i̇yi
Teberik;Biricik;biricik;biricik;biricik;biricik
Teh;Çok güzel.;güzel çok;güzel;güzel;güzel
Teke;Erkek keçi;keçi erkek;erkek keçi;erkek keçi;erkek keç
Teleme;Keçilerden yeni, sağılmış sütünden yapılan bir tür peynir.;peynir keçilerden tür sütünden yapılan bir yeni sağılmış;bir keçilerden peynir sağılmış sütünden tür yapılan yeni;bir keçilerden peynir sağılmış sütünden tür yapılan yeni;bir keçi peynir sağıl süt tür yapılan yen
Telis;Keten torba;torba keten;keten torba;keten torba;ke torp
Tengerek;Yuvarlak.;yuvarlak;yuvarlak;yuvarlak;yuvarlak
Tergemek;Bırakmak;bırakmak;bırakmak;bırakmak;bırakmak
Tesbi;Makigillerden bir bitki;bir makigillerden bitki;bir bitki makigillerden;bir bitki makigillerden;bir bitki makigil
Teselleme;Misal vermek.;misal vermek;misal vermek;misal vermek;misal vermek
