kelime;anlam;lowercase;tokens;lemmas;stemmed
Sille;Tokat;tokat;tokat;tokat;tokat
Soğukluk;Semiz otu;otu semiz;otu semiz;otu semiz;ot sem
Solan;Dinlendirilen tarla.;dinlendirilen tarla;dinlendirilen tarla;dinlendirilen tarla;dinlendirilen tarla
Soyka;(Argo) Ölü üzerinden çıkan giysi;argo çıkan giysi ölü üzerinden;argo giysi çıkan ölü üzerinden;argo giysi çıkan ölü üzerinden;argo giys çıkan öl üzer
Sömelek;Küçük, ufak;ufak küçük;küçük ufak;küçük ufak;küçük ufak
Suluk;Sapı demirden bıçak;sapı bıçak demirden;bıçak demirden sapı;bıçak demirden sapı;bıçak demir sap
Sülemen;Süleyman;süleyman;süleyman;süleyman;süleyman
Süllüm;Merdiven;merdiven;merdiven;merdiven;merdiven
Sülük;Salyangoz;salyangoz;salyangoz;salyangoz;salyangoz
Süngüç;Baş ve işaret parmağının uçları arasındaki uzunluk ölçüsü.;ölçüsü ve uçları baş uzunluk arasındaki parmağının işaret;arasındaki baş işaret parmağının uzunluk uçları ölçüsü;arasındaki baş işaret parmağının uzunluk uçları ölçüsü;ara baş işaret parmak uzunluk uç ölçü
Sürdürgü;Kamıştan yapılmış düdük.;düdük yapılmış kamıştan;düdük kamıştan yapılmış;düdük kamıştan yapılmış;dü kamış yapıl
Sürelge;Sürülen tarla.;sürülen tarla;sürülen tarla;sürülen tarla;sürülen tarla
Sürgeç;Bulaşık süngeri;bulaşık süngeri;bulaşık süngeri;bulaşık süngeri;bulaşık sünger
Süük;Çelenk;çelenk;çelenk;çelenk;çelenk
Süük;Toprak evlerin üstündeki çıkıntı;evlerin çıkıntı üstündeki toprak;evlerin toprak çıkıntı üstündeki;evlerin toprak çıkıntı üstündeki;ev toprak çık üst
Süven;Uzun ağaç;uzun ağaç;ağaç uzun;ağaç uzun;ağaç uzun
Şakül;Duvar terazisi;terazisi duvar;duvar terazisi;duvar terazisi;duvar terazi
Şaplak;Elin içi ile vurulan tokat.;içi ile elin tokat vurulan;elin içi tokat vurulan;elin içi tokat vurulan;el iç tokat vurulan
Şapta;Hayma yapımında dalları tutmak için kullanılan sundurmalar.;tutmak yapımında için kullanılan dalları hayma sundurmalar;dalları hayma kullanılan sundurmalar tutmak yapımında;dalları hayma kullanılan sundurmalar tutmak yapımında;dal haym kullanılan sundur tutmak yapım
Şarlak;Çağlayan;çağlayan;çağlayan;çağlayan;çağlayan
Şebeden;Hoş kokulu, yalnız koklamak için yetiştirilen bir kavun cinsi.;cinsi kavun yetiştirilen için koklamak kokulu yalnız bir hoş;bir cinsi hoş kavun koklamak kokulu yalnız yetiştirilen;bir cinsi hoş kavun koklamak kokulu yalnız yetiştirilen;bir cins hoş kavu koklamak koku yaln yetiştirilen
Şehre;Biçilmiş ekinin yığın şeklinde değil de çember şeklinde istiflenmesi.;biçilmiş yığın çember istiflenmesi değil şeklinde de ekinin;biçilmiş değil ekinin istiflenmesi yığın çember şeklinde;biçilmiş değil ekinin istiflenmesi yığın çember şeklinde;biçil değil ekin istiflenme yık çember şekl
Şelek;Bir kişinin sırtında taşıyacağı kadar, odun, çalı veya biçilmiş ekin yükü.;veya odun kişinin çalı yükü sırtında taşıyacağı kadar biçilmiş ekin bir;bir biçilmiş ekin kadar kişinin odun sırtında taşıyacağı yükü çalı;bir biçilmiş ekin kadar kişinin odun sırtında taşıyacağı yükü çalı;bir biçil ek kadar kişi odun sırt taşıyacak yük çal
Şelek;Yük.;yük;yük;yük;yük
Şeş;Datel şeklindeki kadın baş örtüsü;baş datel şeklindeki kadın örtüsü;baş datel kadın örtüsü şeklindeki;baş datel kadın örtüsü şeklindeki;baş datel kat örtü şekl
Şif;Pamuk çalısında toplamaya hazır hale gelmiş pamuğu içinde barındıran kap.;gelmiş barındıran pamuk toplamaya hale içinde pamuğu çalısında kap hazır;barındıran gelmiş hale hazır içinde kap pamuk pamuğu toplamaya çalısında;barındıran gelmiş hale hazır içinde kap pamuk pamuğu toplamaya çalısında;barındıran gel hale hazır iç kap pamuk toplama çalı
Şifan;Yulaf;yulaf;yulaf;yulaf;yulaf
Şinci;Şimdi;şimdi;şimdi;şimdi;şimt
Şipidik;Alkış.;alkış;alkış;alkış;alkış
Şire;Tatlı;tatlı;tatlı;tatlı;tatl
Şişek;Doğurmamış koyun;koyun doğurmamış;doğurmamış koyun;doğurmamış koyun;doğur koy
