kelime;lemmatization
Hıllangaç;salıncak
Hıltan;kürdan
Hırsunmak;hor görmek
Hıvladmak;ürkütmek
Hiza;yan yana aynı paralelde olma hali
Hobilik;yuvarlak
Hola;fol
Honturuş;biçimsiz
Horalı;komik
Horanta;kalabalık
Horum;susam bitkisinin bağlarından oluşan piramit şeklindeki yığın
Hota;kabadayı
Hozak;ham incir meyvesi
Hölümek;tohumları tarlaya ekmeden önce ıslatmak
Hölümek;buğdayı suyla karıştırmak
Höörmek;yüksek sesle ağlamak
Hörtük;i̇şe yaramaz
Hörtük;argo bir beddua
Icıcık;
Irahmatlık;rahmetlik ölü
Irbık;i̇brik
Irgat;i̇şçi
Irızık;rızk
Isdar;çul çuval kilim dokuma tezgahı
Işgın;bitki ağaçların filizi
Işgın;filiz
Işgıye;eşkıya
Işımadan;sabah olmadan
İbili;bir kuş
İdare;lamba aydınlatma aracı
İğlemek;zayıflamak
İğdiş;erkekliği alınmış teke
İkan;i̇ken
İliksiz;yaramaz geveze
İnne;i̇ğne
İnnelik;bitki
İpissiz;kimse yok
İrellek;sonra ileri tarafta
İrkme;biriktirme
İsilik;vücudun değişik yerlerinde oluşan kızartı i̇rişgit et sucuğu
İta;un koyulan sofra
İtburnu;kuşburnu
İtee;ekmek yaparken üzerine un konulan büyük kalın bez
İteğe;ekmek yaparken hamur tahtasının altında kullanılan üzerine un dökülen
İvil İvil;telaş içinde
Kakılı;oldukça fazla
Kalbur;buğday eleği
Kamgı;ağaç kabuğu
Kanalga;konaklama yeri
Kapız;taşlık arazi
Karaaş;kara kış
Karaböcük;domuz
Karadul;bir böcek
Katıklama;ayranla herhangi bir şeyin karıştırılmış hali
Kav;i̇nce deri
Keeni;küçük çapa
Kele;bayanlar bir hitap sözü
Kellenkeste;kertenkele
Kemın;kimyon
Kenger;bir bitki
Kepir;kayalık yer
Kepmek;yıkılmak
Kerevet;sedir
Keri;sonra
Kertik;çentik
Kertiş;kertenkele
Kesge;ocakta yarısı yanmış odun parçası
Kesme;meşe
Keş;arpa buğday tahılı eledikten sonra saratın üstünde kalan artık
Kımıldamak;kıpırdamak
Kıpırtı;hafif s
Kiktik;küçük sabun
Kindel;ta
Kirç;dut meyvesinin hamı
Kirkit;dokumacılıkta kullanılan bir aygıt
Kirmen;i̇p eğirmek dört çapraz kanatlı tahtadan yapılmış
Kirmen;koyun yünü keçi kılından ip yapmaya yarayan bir aygıt
Kirmeni;bağlı
Kirve;sünnet olan çocuğu tutan kişi
Kolan;halat
Kökgüç;ucu sivri sopa
Kömbe;börek
Kömeç;bir bitki
Könçek;külot
Köre;demir alet yapılan yer
Köryapalak;yarasa
Köstek;manda sığırların hareketlerini kısıtlamak bir ayağına bağlanan ağırlık
Köstü;köstebek
Köstü;faregillerden bir hayvan
Köşger;deri işiyle ugraşan kişi
Köşşek;devenin yavrusu
Köşt;i̇skemle
Köynek;giysi atlet
Kuzgun;kuzeye bakan soğuk yer
Küçcürek;küçük
Küncü;susam
Künde;gün
Küpmül;küncülerin toplanma hali
Küren;yaban hayvanları sürüsü
Kürü;atın yavrusunun ilk günlerindeki adı
Kürümek;i̇leri doğru süpürmek
Küşne;burçak
Ladır;i̇kinci askerlik
Langır lungur;tantanalı gürültülü
Lemerme;nemlenme
Lepe;lapa
Lepeç;eziklik
Lığlak;aşağı doğru meyilli
Lolamak;toprak yerin üzerini silindirle sıkıştırmak
Loo;silindir şeklindeki taş
Loş;birbirine karıştırılmış yemek düğün yemeği
Lök lök;büyük büyük iri iri
Lök;büyük salyangoz
Löküs;aydınlatma cihazı lüks
Lös;hantal
Löstür;şişman
Maa;uzun ağaç
Maara;mağara
Mahrama;havlu
Malağma;harmanda dövülen sapların tane samanlarını ayırmak yığın haline
Malak;ayı yavrusu
Malama;tortu çöp
Malamat olmak;rezil olmak
Malamat;etrafa rahatsızlık verici gürültü
Malamat;rezil
Manca;çoban salatası
Mangır;para
Mantıfar;sarı renkli bir çeşit çiçek
Mantız;bir tür ızgaralı mangal
Maraz;hastalık
Maşat;çamaşır mandalı
Matrap;sabanda kullanılan küçük sopa
Meke;mısır
Meses;uzun sopa
Meses;sabanla çift sürülürken hayvanı ürkütmeye yarayan bir sopa
Meta;kadar
Mıcık;çamur
Mıdıklı;alıngan
Mık;çivi
Mıkla;yağda pişmiş yumurta
Mıktar;muhtar
Mıraz;murat istek
Mırık;bataklık haline gelmiş çamur
Mıymıntı;elinden iş gelmez adam
Milek;akarsu kenarındaki mil toprağın bulunduğu alan
Miltan;gömlek
Misilli;güzel iyi
Mitil;eskimiş parçalanmış
Mitil;parçalanmış bez yığını
Motor;traktör
Mottik;küçük düz taş
Mucuk;küçük sinek
Mulla;molla
Mundar;eti yermeyen hayvan
Muşduluk;müjdelik
Nacak;balta
Nakit;vakit
Namtı;sapsız bıçak
Navtıcın;yapacaksın
Navutuyon;yapıyorsun
Neceez;
Necimiş;neymiş
Nedii;
Nen söylemek;ninni söylemek
Nenceez;
Nene;nine
Ninemeli;gereği var
Nedii;
Oba;el yabancı yurt
Ocaklık;ateş yakılan yer
Oha;kabaca uyarma
Okuntu;düğüne davet edilirken verilen hediye davetiye
Omuzlağ;omuzda taşınan odun
Oncaaz mı;kadar
Ondan kerli;ondan sonra
Ordanarı;ordan öyle
Orklemek;bağlamak
Ota;kadar
Oval;halka
Ödü ağca;korkak
Ölgeez;ölmek üzere
Önlüün körü;bir tür ilenme beddua
Örk;çayırda havanın bir bölgeden ayrılmadan yayılması uzun bir halatın bir
Örme;genelde büyük baş hayvanları bağlamak kullanılan bir tür ip
Örsüdü;yürüdü
Örtük;kapalı
Öteberi;i̇htiyaçlar
Öteçe;öte taraf
Öteen;geçen gün
Öteyece;öteki taraf
Palaz;yere serilen kalın çul
Palaz;keklik yavrusu
Palazı çıkmak;yere serilmek
Paldın;atların semer eyerini vücûduna bağlayan kuşak
Palıt;palamut
Pampal;gelincik çiçeği
Partutuş olmak;eli ayağını birbirine dolaşmak
Patısga;patiska
Patik;çocuk ayakkabısı
Pavkırma;yırtıcı hayvan sesi
Pazen;bir çeşit kumaş
Peh;güzel
Pehlil;zavallı
Pereden;aniden
Perekente;perakende
Peşkir;havlu
Pırnat;ekin demeti
Pırtı;elbise
Pısacak;saklanacak
Pıslan Patır;saklambaç
Pıslanıb;saklanıp
Pıslanpatır;saklanbaç oyunu
Pısmak;saklanmak
Pıtık;ardıç türü
Pin;kümes
Pinnik;kümes
Pontil;pantolon
Portmak;bir delikten geçmek
Portmak;boşanmak
Potuk;camuzun manda küçük yavrusu
Pur;kuru kil görünümünde verimsiz toprak
Pus;si
Pür;yanıcı çam yaprağı topluluğu
Pürçük;mısır püskülü
Püsü;kedi
Revan;yürüyüp gitmek
Riayet;uymak
Rivayet;hikaye söylenmiş
Sabı;sübyan çocuk
Sabık;acele çabuk
Saca;üzerinde yemek pişirmek kullanılan demir alet
Sağantası;altı yedi litre süt alabilen hayvanlardan süt sağmakta kullanılan madeni
Sakga;fasulye badem çekirdeği palamut iki parçadan
Sakıldak;koyunların sıvı dışkılarının arka bacaklarındaki yünlere yapışarak kuruması
Salak;i̇çerisi kısmen ıslak geniş alan
Salıg;i̇pucu
Samı;sabanda kullanılan öküzlerin boynuna getirilen kısım
Saprasekil;gelişigüzel
Sarat;büyük kalbur
Sarat;büyük gözenekli elek
Sarp;çıkılması güç yer
Satır;bıçak
Satır;helke kova
Satır;i̇çi kalaylı bakır bakraç su taşımada kullanılır litre su alır
Seen;tabak tepsi
Seğirtmek;biraz acele koşmak
Seğmen;gelin alayı
Sehen;bakır tabak
Sehep çıkma;tanıma
Sehil;alçak engin
Selinti;nehirden yakalanan odun parçalan
Selinti;selin sürüklediği çöp
Seyrelmek;sık olmamak
Sıklat;sıcak
Sıklatsıramak;fazla ısı nedeniyle bunalmak
Sıpa;eşek yavrusu
Sıygal;kaygan
Sıypınmak;kıç üstü oturarak bir yerden aşağı kaymak
Sıypınnak;pur topraktan oluşan yamaç
Sille;tokat
Soğukluk;semiz otu
Solan;dinlendirilen tarla
Soyka;argo ölü üzerinden çıkan giysi
Sömelek;küçük ufak
Suluk;sapı demirden bıçak
Sülemen;süleyman
Süllüm;merdiven
Sülük;salyangoz
Süngüç;baş işaret parmağının uçları arasındaki uzunluk ölçüsü
Sürdürgü;kamıştan yapılmış düdük
Sürelge;sürülen tarla
Sürgeç;bulaşık süngeri
Süük;çelenk
Süük;toprak evlerin üstündeki çıkıntı
Süven;uzun ağaç
Şakül;duvar terazisi
Şaplak;elin içi vurulan tokat
Şapta;hayma yapımında dalları tutmak kullanılan sundurmalar
Şarlak;çağlayan
Şebeden;hoş kokulu yalnız koklamak yetiştirilen bir kavun cinsi
Şehre;biçilmiş ekinin yığın şeklinde değil çember şeklinde istiflenmesi
Şelek;bir kişinin sırtında taşıyacağı kadar odun çalı biçilmiş ekin yükü
Şelek;yük
Şeş;datel şeklindeki kadın baş örtüsü
Şif;pamuk çalısında toplamaya hazır hale gelmiş pamuğu içinde barındıran kap
Şifan;yulaf
Şinci;şimdi
Şipidik;alkış
Şire;tatlı
Şişek;doğurmamış koyun
Şişek;kuzu koyun arası dişi koyun bizim iki şişeğimiz var
Şivşirmek;kışkırtmak
Şoora;şura
Şor;laf
Taka;tahta çardak
Taktacı;tahtacı
Taman;dedim yaptım ben sana anahtarı verdim taman
Taman;hani bilirsin
Tamaşa;seyir
Tandır;üzerinde çörek pişen yassı taş
Tantana;boş laf
Tapına düşmek;denk düşmek
Tapkı;sopa
Tarpadan;aniden
Taşkala;dalga geçmek
Tav;kıvamına gelmek
Tavatır;fek güzel
Tavlak;ceviz
Tavlar;üzerine kapkacak koymak raflardan oluşan tezgah
Tavlar;mutfakta kap kacak koymak yapılmış raflar
Tavlı;i̇yi besili
Teberik;biricik
Teh;güzel
Teke;erkek keçi
Teleme;keçilerden yeni sağılmış sütünden yapılan bir tür peynir
Telis;keten torba
Tengerek;yuvarlak
Tergemek;bırakmak
Tesbi;makigillerden bir bitki
Teselleme;misal vermek
Test;büyük leğen
Teşt;leğen
Tevir;çeşit
Tıngırık;çinko parçası
Tırıp;pek
Tırıs;hızlı süratli
Tırpan;ekin biçmede kullanılan aygıt
Tille;beygire yük sarmak semerin iki yanına halatla yapılan üzengi
Tindirik;elin orta parmağıyla vurulan fiske
Tingmek;fırlamak
Tinkitmek;sıçratmak
Tintirik;fiske
Tokaç;çul yıkamaya yarayan kalın sopa
Toklu;boynuzlu gürbüz koç
Toklu;erkek koyun
Töde;saman yığını
Tuluk;tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı
Tummak;suya dalmak
Tusbaa;kaplumbağa
Tutam;demet el genişliği kadar uzunluk ölçüsü olarak kullanılır
Tük;soğanın başı
Ufra;ekmek yaparken hamura kıvam veren un
Umsuluk;bunalmak sıkıntıya girmek
Unnuk;un ayrılmış buğday
Urubla;çeyrek ta
Urup;dörtte bir
Uruplağa;tahtadan yapılmış kg buğday alabilen tahıl ölçü kabı
Uundu;bebeklerin ağlayarak kendinden geçmesi
Uyluk;bacak bud
Üleş;kokmuş hayvan ölüsü
Ülüş;komşulara yemek verme
Ürmek;köpek sesi
Ürtmek;mağlup etmek
Ütüzlenmek;süslenmek
Üvez;sivrisinek
Üzengilik;gelin indirirken geline verilen bahşiş
Varışın;varınca
Vasayıt;binek aracı
Vayvilim;figan ağıt
Velvele;gürültü
Verecekli;borçlu
Vıcık vıcık;sulandırmak
Vıddırıvızzık;i̇şe yaramaz nesne
Vırtgel;aynı yerde gidip gelme
Vıykıraak;bağırmak
Vıykırınca;bağırınca
Vızır vızır;çarçabuk gelip geçen
