kelime;lemmatization
Kestirme;kısa mesafeli yol
Kesitmek;dedikodu yapma
Keşan;başa belle bağlanan yöresel örtü peştambal
Keşap;i̇çilebilinir berrak temiz su
Keşgül;su kabağı su kabı
Keşik;dizi sıra
Keşir;meyvenin yenilmeyen kısmı
Ketun;elisıkı cimri bağlı
Kevgir;süzgeç
Keyfanı;i̇htiyar kadın kocakarı
Keyif;rahatlık yatmak
Kıble;güneyden esen rüzgar
Kımıldamak;ayağa kalkmak hareket etmek
Kıpkızıl;kırmızı
Kışkış;kovma gönderme
Kışla;böğürtlen kaplı orman
Kıt;bulunan
Kıvrıl;eğri bükük
Kıymık;i̇nce odun parçası
Kıytırık;hafif işe yaramaz değersiz
Kızıl;olmamış ham
Kile;ağırlık ölçüsü
Kiltik;küçük sabun parçası
Kivra;tutarsız kadın kız
Kiraz ayı;haziran ayı
Kiraz duzlusu;kirazın tuzlu salamurası
Kirko;tirizma vurma aleti
Kodaman;yaşlı zengin kimse
Kof;i̇çi boş
Kofil;fıçı
Konuşuk;söz birliği laf söz
Kopça;düğme kısa bacaklı kimse
Kopil;küçük çocuk
Kopuk;bağlantısı olmayan serseri
Kor;ateş
Korgon;mısır çorbası
Koruk;i̇çi boş fındık
Kot;tahıl ölçüme kabı
Kotmak;ağaç tabura
Köhne;eski
Kökçeğiz;küçücük ağaç kökleri
Kökleme;fındık fidanı
Köm;toprak ev hayvan ağır
Kömeç;kuru ağaç parçası
Kömsük;kısa küçük mısır koçanı
Kömüş;manda
Kösere;yuvarlak bileği taşı
Kösmük;sigara izmaritdi
Köstü;köstebek
Köstüre;el çevrilen bileği taşı
Kötek;dayak kısa deynek sopa
Köz;i̇yi yanmış odun ateş
Krizma;toprağı derin kazma
Kub;tutulacak yer sap
Küçüleme;çember sıkı baş bağlama
Kuduruk;kuduz deli hali olan
Kufa;tahta su kabı
Kulaç;açılan iki kol arası
Kulaklı;i̇ki kulplu tava
Kulübe;küçük tek odalı yapı
Kuma;ayni erkekle evli kadınlar
Kuytu;çukur
Kuzlak;kuzeye bakan fazla güneş almayan
Külek;yuvarlak tahta kap
Külek kafalı;büyük kafalı geç anlayan
Küllük;ocakbaşı kül toplanan yer
Külür;bezelye
Külüstür;i̇şe yaramaz eski
Kümbet;değirmen unluğu büyük ağaç kap
Kümbül;kambur
Küpbaş;kocakafalı başı büyük
Küpü;baltanı sırtı arka tarafı
Kürtük;buz tutmuş erimeyen kar yığını
Kürün;su içilen alınan ağaç çeşme
Kütmek;küçük tahta oturak tabure
Kütük;kalın kereste kesik ağaç kökü
Küveç;ağaçtan yapılan kap
"L- 
Lapçin";takunya
Lavaş;yassı yumuşak ekmek pide
Laz Armuttu;giresun ’ yetişen bir armut çeşidi
Leftir;karışık
Lepelek;hafif ince tül
Leş;hayvan ölüsü
Lobut;büyük değnek şişman iri kimse
Lobya;kuru fasulye
Lomya;taze fasulye
Löç;islak suya doymuş
Lök;sulu
Löküz;tüplü gazlı parlak ışık veren lamba
Lül;undan yapılan tavuk yemi
Lülemek;bir şeyin ucu yontma sivriltme
Lülü;yemlemek tavuğu çağırma
"M- 
Mabeyin";oda bölme
Macir;göçmen
Macirce;göçmenlerin konuştuğu dil şive
Mada;i̇ştah
Madalı;i̇ştahlı
Madema;
Mafir;kere
Mağatcama;meğerse onun
Mağzer;tüfek
Mahna;mazeret
Mahnalık;sebep dayanak
Mahlukat;yabani havyan yaratık
Makluvat;zayıf yabani hayvan
Maksus;yalandan kandırmaca
Makta;orman kesim yeri arazi bölümü
Malak;manda yavrusu
Mam;bir tür oyun
Mamali;peynir küçük kurdu
Mandalin;mandalina
Mapus;cezaevi
Marguç;biberon
Mastı;çoban değneği sırık sepet çubuğu
Maşagat;uzun çalışma uğraş
Maşat;çalışma caba
Maşraba;su içme kabı
Maraz;ruhi hastalık sıkıntı
Matrak;dalga geçme güldürme
Mavzer;tüfek
Mayıs;yabani çilek
Maza;dükkan
Mazı;direkler üzerine yapılan kiler
Medek;dişi manda
Meci;i̇mece ırgat
Meğel;küçük geniş çalışma i̇steme yanlısı
Meğersem;başka türlü alternatif
Meh;al buyur
Melanet;bela baş belası
Melavcan;diken sürgünü filizi
Melhem;i̇laç merhem
Melun;tehlikeli şeytan yılan
Mendabur;kötü kirli
Mendek;yemeği yapılan yabani bitki
Merek;hayvan yemleri konulan yapı
Mertek;kereste direk
Merulcan;yenilen taze diken ucu sürgünü
Mes;deri ayaklık çorap
Meşagat;uğraşma zorluk çalışma
Meşebe;su kabı maşraba
Mıcır;i̇nce çakıl taşları
Mıh;çivi
Mırık;s çıkarma
Mırız;zayıf hastalıklı
Mısgıç;eli sıkı cimri
Mısmıl;uyuşuk tembel
Mıymıntı;huysuz sorunlu kişi
Mızıkcı;oyun bozan
Mızmız;nazlı
Mil;elişi yapılan tığ
Mintan;gömlek
Misir;domates
Mitil;yer yatağı döşek
Miz;buzağın ağzına takılan çatal demir
Momuli;küçük kurd böcek
Mostra;kösele
Mort;düşüp bayılan
Mökem;sağlam
Mööşkokan;kötü kokan
Muabin;evin ana direği
Muallak;sahipsiz
Mudara;sağlam olmayan eğrelti duran
Mugalif;zayıf dayanıksız
Mugayet olma;sahip olma korumak
Mundar;birdenbire kesilmeden ölen pi
Munzur;baş belası dert
Murç;kalın demir delgi keski
Muska;boyuna takılan dua
Musluk;mutfakta bulaşık yıkama yeri lavabo
Mükgem;sıkı kuvvetli sağlam
Münafık;fesat cadı
Müsrif;savurgan savruk
Müşkül;zor zorluk
"N- 
Nacak";küçük balta
Nah;al alsana anlamında
Namazlağ;seccade
Namazlık;beyaz başörtüsü
Nalça;ayakkabının alt demiri
Nalgun;nakliye geçiş ücreti
Namlu;mısır sapı ot demetti tabanca borusu
Nar;ateş ateş parçası
Nebri;gayri i̇slam olan kimseler
Nebze;azıcık zerre kadar
Nene;nine babaanne anneanne
Ne olisin;karışıyorsun
Nelik;i̇htiyaçlar yiyecekler
Nendabur;kirli kötü
Nerdek;üzüm suyu şırası
Nezik;güzel taze
Nezük;taze tatlı
Nifi;gayri müslim kadın açık giyinen açık saçlı
Nire;nere
"O- 
Oba";yaylada konaklama yeri
Obuz;küçük dere dar vadi
Okarı;yukarı
Okka;ağırlık ölçüsü
Orak;mısır ot biçme aleti
Orak ayı;temmuz ayı
Oslama;boşuna
Osmak;kıyaslamak
Otlak;hayvanların otladığı yer mera
Otluk;uzun ağaca sarılan mısır sapı yığın
Oyrak;çukur arazi uçurum
Oysama;oysa halbuki
"Ö-                                                                              
Öbür";başka başkası
Öd;i̇rin cerehat
Ödlek;korkak
Öğez;küçük sinekler
Öğürmek;kusmakya başlamak
Öğürsek;kızgınlık gösteren hayvan
Öklemek;bağlamak sabitlemek
Öklü;bir yere bağlı olan
Ölin;öğlen vakti
Ölümcür;hasta
Ömeç;tereyağlı taze mısır ekmeği ezmesi
Örkürmek;bir kişinin taklitdini yapmak özenmek
Örüzger;rüzgar yel
Öse;ateşte ucu tutuşmuş yanan odun
Öte;uzak taraf
Öteki;diğeri
Öteberi;eşya
Ötürük;i̇shal
Öyme;sürme bulaştırma dokundurma
Özül;yabani ağaccık
"P- 
Pakça";küçük ev serentiye benzer yapı
Paçuri;paçavra bez parçası
Padar;çam ağacı kabuğu
Pağac;kor ateşli külde pişirilen ekmek
Pahal;bencil kıvkanç
Pakla;fasulye
Palak;manda ayı yavrusu
Palan;minder çeşidi kalın örtü
Palaska;kemer
Palaspandıras;apar topar birden patır kütür
Paldır;otsu hayvan yiyecekleri
Palıç;hamur ekmeği
Paltan;i̇ri kurbağa
Pancar;karalahana
Pança;pençe kıllı el
Pandır;hayvan yiyeceği yabani ot
Papara;ekmek tatlısı dayak
Parıltı;işık alev
Parlama;bağırma
Pasa;habire devamlı
Paşapaşa;mecburen zorunlu olarak
Paşka;tek odalı küçük ev kibrit kutusu
Patar;kısa kalın kereste
Patapat;berabere eşit
Patırtı;gürültü
Patik;kısa örme çorap
Patlanguç;yabani bitki oyuncak
Patoz;fındık taneleme makinesi
Payanda;destek
Payandura;kuvvetli destek
Paydak;yan yürüyen
Paykırtmak;kaçırmak ürkürtmek korkurtmak
Peğe;bahçe kenarı taş örgü duvar engel
"Pek              Sağlam. 
Peklik";kabızlık
Pelte;parça ayrı
Peltek;kekeme
Pelit;meşe ağacı çeşiti
Pere;koyunun toplandığı yer
Perçem;alındaki saçlar
Pervaz;kapı pencere kenarı
Pestil;dut pekmezi kurutması
Pestili çıkma;yoğurlma
Peş;yama ek
Peşt;arka taraf
Peşgi;küçük soba
Peşgir;havlu
Peşi;art arka
Peştembal;belle bağlanan yöresel giysi
Peydaolma;meydana gelme
Pezük;havuç cinsi yenilen bitki
Pıddak;paylamış mısır
Pıllamak;uçmak
Pıllaböcü;uğurböceği
Pırıltı;işık yansıması
Pırlak;parlak olan
Pırtı;elbise giyisi çamaşır
Pıtırak;yapışkan
Pıtlak;patlamış mısır
Pıtlakdarı;i̇nce taneli mısır
Pıykırtmak;kaçırmak
Pıymak;hızla koşmak
Picali;bezelye
Piç;fındık kökünden çıkan yeni sürgün
Pinekleme;i̇ş yapmadan bekleme
Pipirik;cesaretsiz şüpheci gölgesinden korkan
Pisi;kedi
Pişt;bir çeşit seslenme
Poğul;pişmiş mısır koçanı
Port;i̇şe yaramaz yün
Porsuma;yıpranma aşınma
Posurma;giysilerin eskimesi
Pörtlek;patlak
Pösteki;yünlü koyun derisi
Pöstekisi çıkma;çalışarak yorulmak
Pöşge;soba
Pur;bir çeşit toprak
Putuna;turşu konulan büyük tahta fıçı
Pür;çam dalı ucu yaprağı
Pürcek;sık uzun püskül salkım
Püre;sebze meyve haşlaması ezmesi
Püs;mısır koçanı püskülü
Püskül;süs
"R- 
Rafan gitmek";hızlı gitmek ilerlemek
Rahle;kitap okuma sehpası
Rahmet;yağmur
Reşat;altın
"S- 
Saablanma";sahip çıkma
Sabat;sabır bekleme
Saç;üzerinde ekmek pişirilen tandır
Saçayağı;saç altı üç ayaklı yuvarlak demir
Sadır;sidik
Sağnak;yağmur
Sağrak;tereyağı saklanan ağaç kap
Sahan;geniş derince bakır yemek kabı
Sakar;hayvanın alında bulunan beyazlık
Sakat;vücutda çıkan yaralar cıban
Sakartlak;kan emici böcek kene
Sakırca;beyaz çiçekli kökü yenen yabani bitki
Sal;tabut
Salamuk;tuvalet
Salık;tarif yön gösterme
Sali;salı günü
Salma;serbest bırakma
Salman;köy bütçesine verilen para
Sandım;zannettim
Saplık;balta kazma sapı
Saplıayak;ayran metal kepçesi
Sarıavu;saru çiçek açan ormangüllü
Sarıncalı;yabani sarı arı
Sarma;etrafını çevirme lahana dolması
Sasuk;tatsız lezzetsiz
Savak;değirmen suyunu yönlendirme
Savmak;atlatmak kesmek
Savruk;müsrif eli açık
Savuşma;gitme sırasını geçme
Sayfan;bahçelerde bekçi kulübesi
Sazak;bataklık çamurlu
Sazlık;sürekli su tutan arazi batak
Sazmak;islak çimen
Sef;yanlış hata ters yön
"Seflik        Yanlışlık. 
Seğirtmek";koşmak fırlamak
Seki;tarlalar arası tümsek sınır
Sekmen;küçüçk tahta oturak
Selek;ortaboy sepet
Semekse;üzüm çorbası
Semete;sebep vasıa uyku sersemliği
Sendeleme;dengesini kaybetme
Sepetbaş;i̇çi boş kafalı
Sepgen;rüzgarlı yağan yağmur
Serenti;direkler üstüne yapılan kiler
Sergü;üzerinde kurutma yapılan örtü çarşaf
Set;oturma yeri koltuk sedir
Sıbıç;sebze meyve sapı
Sıçan;küçük fare
Sığ;derin olmayan
Sıksapı;sökülüp kurutulan ince mısır sapı
Sınnak;hayvanların ayak tırnakları
Sıpartlama;elbise kolu paça kıvılma
Sıpa;eşek yavrusu
Sırf;i̇nadiye onun
Sırappa;sıraya dizili
Sırgan;isırgan otu
Sırıtma;gereksiz gülme
Sırnaşık;şımarık yapışkan
Sırtarmak;alaylı gülme
Sıvışma;saklanma kaybolma
Sıymak;kaymak kayak
Sıypırmak;kaydırma kenara vurdurma
Sibekbaşlı;gıcık aksi inat huylu
Sifde;i̇lk önce yapılan
Sifdiin;i̇lk olarak
Sille;tokat
Silek;paspas
Sim;yaldız parlak tel
Simelek;uyşuk i̇şe yaramaz
Sin;saklan
Sini;büyük tebsi sofra
Sinmek;saklanmak
Sinsi;gizlice yapmak
Sirke;yeni doğan bit yavrusu
Siron;yufkadan yapılan yoğurtlu yemek
Sitil;madeni su kovası
Sivil;ekilecek küçük soğanlar
Sivsiv;küçük fare yavrusu
Sofa;evin giriş bölümü odası
Soğlama;fındık hasat sonu tekrar arama başak
Somun;yuvarlak fırın ekmeği
Somurtgan;dargın duran
Söfe;kapı üstü
Sökütmek;üzerindeki elbiseyi çıkartma
Söykenmek;bir yere yaslanma
Sudökünme;küçük ihtiyaç
Sulusepken;sulu yağan kar
Summuk;yumruk
Susak;su kabağı su kabı
Suluk;süzme konulan yer
Sülfü;pasaklı
Sümüç;i̇ki parmak arası ölçü
"Sümsük           Yalaka.Şımarık. 
Süsme";hayvanların vurması i̇tekleme
Süzme;kurumayan yaş çökelek
"Ş- 
Şablak";tokat şamar
Şal;başa omuza alınan örtü
Şalak;zamanı geçmiş hıyar
Şalgam;tohumluk hıyar
Şamar;sille tokat
Şankettirme;vurma s çıkartmak
Şangır;dökülme dökme
Şankurşunkur;çarçabuk toplanma acele
Şap;acı zehir
Şapırtdatma;yiyecek yemek
Şapurtma;sesli öpme
Şarba;baş örtüsü
Şavadak;aniden birdenbire
Şavulgu;kısa süren gelip geçen yağmur
Şayet;
Şebek;balık hamsi pullu
Şelbet;şekerli su
Şelek;küçük sırt sepeti
Şennik;sebze ekilen küçük tarla küçük bahçe
Şıma;beton sıva
Şilte;bez örtü yatak yorgan astarı
Şindik;şimdi
Şincik;hemen
Şiş;örgü yapmada madeni çubuk tığ
Şişek;yaşına gelmiş koç koyun
Şöfer;sürücü şöför
"T- 
Ta";i̇şte
Taflan;karayemiş
Taflanduzlusu;taflan tuzlaması yemeği
Tahtakurusu;kokulu böcek
Takguma;ağaçkakan kuşu
Talanmak;durmadan bir şeylerle uğraşmak
Talaş;mısır koçanı dış yaprağı
Tam;ağıl ahır
Tangır;i̇çi boş s çıkaran
Tangırtı;görülmeyen s
Tapma;dalma kaparak alma koparma
Tapış;paylaşma
Taran;sudaki taşın altındaki boşluk balık yuvası
Tarumar;dağınık
Tas;bakırdan yemek su kabı
Tasal;tembel işe yaramaz takatsiz
Tasattuketmek;dağıtmak
Tay;taşınacak yük parçası küçük yavrusu
"Taylanmak      .Hazırlanmak. 
Tazı";köpek
Tazılanma;çabuk olma
Teçin;taze tuzsuz peynir
Teçir;esnaf
Tedarık;hazırlık
Tehin;hızlı hareket eden küçük hayvan
Tehingibi;atik olmak elli çabuk olan
Tekne kazıntısı;son olan çoçuk
Telaşa;panik telaş
Telaşiyekalma;telaşlanmak telaşa düşmek
Telef;yorgun düşmek perişanlık
Telef tasal;yorgun argın olmak
Telesimek;susamak
Tesbermek;kurumak
Tembi;uyarı ikaz
Tenkme;tekleme
Tente;büyük bez parçası sergü
Terbüşlü;mutfakda kapaklı tabak
Terki;sırt çantası eyer çantası
Terkeş;ters karışık
Tesbermek;yorulmak
Tesce;aceleci
Testi;toprak kap
Tevek;üzüm kabak hıyarın uzun dalları
Tevekkel;sakin sessiz kişi gariban ganayaklı
Tez;çabuk hızlı bir şekilde
Tıfıl;küçük küçücük
Tıkaç;tapa tanpon
Tıkız;sıkıca kapalı bağlı kapalı
Tıngırak;hayvanlara takılan konik çan
Tıpa;tapa
Tibal;giyimine titiz olan
Tiftik;keçi yünü
Tiken;diken
Tili;titiz kişi
Tir;yemek seçen
Tirebezi;pamuklu dokuma basma bez
Tirizma;toprağı derin kazmak
Tivsi;küçük balık hamsi
Toftaşma;sakinleşme
Tokarak;yuvarlakca
Tokaç;çamaşır yıkamada kullanılan sopa
Tokmak;ağaç takoz
Toklu;yaşına gelmiş koyun
Tombul;yuvarlak şişman
Tonga;tuzak
Topuk;ayağın arka kısmı yaylada ot çeşidi
Topuk otu;yaylalarda yetişen bir ot
Topur;dalda dikenli kestane meyvesi çotanak
Tor;boncuk oya boncuğu
Toy;acemi
Tozak;i̇nce hafif yağan kar tozlu yer
Tömbek;diken meyvesi böğürtlen çileği
Tömbelek;küçük davul
Töngel;muşmula meyvesi
Tulkurma;şişme
Turkurma;sinirlenme
Tulum;peynir konulan koyun keçi derisi
Tumba;hamtevekten yapılan balık tutma sepeti
Tutak;mutfakta sıcak kap tutacağı
Tuzlak;koyunlara tuz verilen yer
Tüksü;yakma yanmış
Tülemek;başlangıç meydana gelme
Tüllermek;aniden üşümek
Tümsek;yüksek yer seki
Tünek;kümesde tavuk oturakları
Tünekleme;oturup bekleme
Tünemek;tavuk oturması
Tütmek;yanarak duman çıkarmak
Tütsü;yakılarak duman çıkarma
Tüy;hafif kıl
"U-Ü- 
Uçgur";bel bağı lastiği
Uçkurusu;kuru dal
Ufra;ekmek pişirmede sacı üzerine serilen un
Uğurlama;gönderme
Uğurak;varılan yer
Ula;erkeklere seslenme
Ulo;kadınların eşlerine seslenişi
Uluk;pi pasaklı
Umma;ümit etmek
Umsunma;ümit beklelek
Unluk;değirmende un konulan yer
Urgan;halat
Uruf olmak;üzülmek
Uslu;akıllı sakin insan
Usulca;yavaşca
Uşak;erkek evlat
Uy;bir hayret nidası
Uyartmak;uyandırmak
Uyra;rüya
Uyruk;hayvanları arka kısmı
Uyuz;zayıf hastalıklı
Üğüm;fındık dalları
Üğütmek;un haline getirmek
Ül;undan yapılan civciv yemi
Ürkme;korkma
Ürmek;haylamak
Üşmek;toprağı eşmek çukur kazma
Üşenmek;çekirgenlik i̇çinden gelmemek i̇steksiz
Üveç;yaşı gelmemiş erkek koyun
Üzmek;dalından koparmak
Üzüm ayı;ekim ayı
"V- 
Vacurvucur konuşma";boş konuşmalar
Vakırtı;gürültü
Vakurvukur etme;gürültü yapmak
Vallah;yemin
Vana;çeşme musluğu
Vapur;gemi
Varmak;ulaşmak
Varta;zorluklar tehlikeli durumlar
Vay;şaşma sözü şaşkınlık
Verep;yamaca karşı düz yol düz gitmek
Vıcık;sulu çamur
Vıcırtlatma;ezme işi yapma
Vıyık;kısık s
Vızıklanma;nazlanma şımarıklılık
Vire;daima devamlı
Viy;
"Y- 
Yaba";çatal ağızlı tel kürek
Yaban;orman
Yafta;resmi kağıt
Yağlaş;undan yapılan yemek
Yakarma;yalvarma
Yal;hayvan yiyecekleri
Yalak;su toplanan çukur
Yalavu;ateş alevi ateşın sıcaklığı
Yalavuz;yalnız tek başına olan kimse
Yaltaklanma;çıkar kişiye yanaşma
Yama;yokuş yamaç ek yapma
Yamalık;yamada kullanılan bez parçası
Yambul;topal
Yane;sandın
Yapma;el yapılan aletler
Yar;uçurum
Yardaklanma;kişiye yağcılık yapma
"Yarık            Açılmış. 
Yarma";mısır kırması
Yarmaça;kızılağaç odunu yarılmış odun
Yasan olmak;ortadan kaybolmak
Yaş;islak
Yaşmak;baş örtüsü
Yavan;tadı olan tuzsuz
Yavşak;bit yavrusu
Yavşu;tarlada yetişen yenilen bitki
Yaykın;kızılağaç
Yaylım;otlak mera
Yaymak;sermek hayvan otlatmak
Yazlık;yaylaya çıkma
Yazma;başa örtülen beyaz çember
Yetişme;bir yere varmak büyümek
Yelönü;i̇çi boş fındık
Yen;süt hayvanı memesi
Yenlik;hafif
Yesir;koşularak ebelemece oynanan bir oyun
Yevgi;hayvan yiyeceği otlar
Yezit;i̇natcı menfaatcı kimse
Yıldırak;kaygan
Yılışık;yalaka dalkavuk
Yılkı;yaylada başıboş atlar
Yıprak;becekli
Yitmek;kaybolmak
Yivdin;kokulu yabani bir bitki
Yolluk;gelin almada arkadaşlarına verilen bağşiş
Yolmak;bitkileri el koparmak toplamak
Yoluşma;birbirini tutarak çekiştirme güreşme
Yonga;odun parçası
Yosma;güzel alımlı boylu boslu
Yorgan;yatakda üste örtülen örtü
Yoz;kıraç arazi
Yörek;beşik bezi
Yufka;i̇nce açılan hamur börek
Yuğlamak;devirmek
Yuka;derin olmayan suyun derin olmayan kısmı
Yukarı;üst taraf
Yunmak;yıkanmak çimmek
Yüğleme;bileleme ucunu sivriltme
Yüklü;gebe hamile
Yürük;atik çevik
Yüzme;gölde yıkanma
"Z- 
Zaar";köpek
Zabaccak;yarın sabah ertesi gün
Zahra;değirmene giden üğütülecek mısır
Zara;tahıl mısır buğday
Zaten;halbuki
Zatiberi;eskiden beri
Zebelemek;ayağı dolaşmak
Zebil;fazla
Zeğele;akşam üstü
Zeklenme;konuşarak alay etmek
Zembelek;yay
Zembil;kıldan dokunan sırt çantası askı zincir
Zemheri;ocak ayı
Zıbaddatma;kıvrılıp yatmak
Zıbarmak;ölmek
"Sebze meyve sapı. 
Zıkkım";zehir
Zıkkımınkökünü ye;zehirlen bedua
Zıldırın zaarı;gezen gezmek
Zınnık;zerre kadar
Zıpka;yöresel pantolon giysi
Zırvalamak;dağıtma saçmalama tutarsız konuşma
Zırzır;sürekli gereksiz konuşma
Zırzop;delidolu
Zıt;ters
Zıtlık;terslik
"Zibçik           .Zurnanın ötürülen kısmı.Düdük. 
Zifir";sigara dumanı nikotin
Zil;beşiğe takılan küçük yuvarlak çan
Zilli;kavgacı kadın
"Zilzurna         Sarhoş. 
Zivzik";küçük küçük fare
Zollu;i̇yi güzel
Zorlu;güçlü kuvvetli
Zote;saklanmaç oyunu
Zuğur;meydana gelme
Zumbuk;yumruk
Zülüf;kulak yanı saçlar favori
Züğriyet;nesil kök
Züğül;özürlü olan sakat
Cice;büyük kadın
Dikme;i̇ç güveyisi
Eci;büyük abla
Gurit;tahtakurusu
Kiren;kızılcık
Kompil;patates
Orcuk;i̇plik eğirmeye yarayan bir araç eğirmen
Şıkrıncak;tahterevalli
Taraklamak;tarlayı sürmek
Ayvacık;ağırtı yoğurt
Ardamak;yaşlanmak
Badal;merdiven
Bayakdan;önce
Bıldır;geçen yıl
Biyol;bir
Cerek;i̇nce uzun odun
Cılga;patika yol
Cücük;civciv
Çatma;duvar
Dirliksiz;geçinilmesi zor kişi
Ellame;herhalde galiba
Emişik;sütkardeş
Fosulamak;özen göstermeden yapmak
Gosdil;patates
İzancıktan;şakadan mahsusçuktan
Meh Meh;hayvanlar seslenme sözü
Nizamlamak;düzenlemek toparlamak
Pablika;fabrika
Selamlık;balkon
Siftahtan;i̇lk
Tomofil;otomobil
Çarşamba;abu abla
Ağa;abi
Aha;i̇şte
Badal;merdiven
Balcan;patlıcan
Bakrak;kova
Basma;eteklik kumaş
Bazlama;mısır ekmeği
Beber;biber
Bıldır;geçen sene
Bızlamak;doğurmak
Boyunduruk;saban çekmeye yer sürmeye yarayan alet
Buba;baba
Cıngen;çingen
Cırcır;fermuar
Cırgana;pekmez yaparken dut üzümün suyunu sıkmaya yarayan alet
Cıscıbıl;çırılçıplak küçük
Dağnamak;kınamak
Diize;teyze
Emmi;amca
Entere;entari
Degmük;tekme
Dol;ev yuva
Döl;çocuk
Entare;gömlek
Evşin;sac üzerindeki ekmeği çevirmeye yarayan demir alet
Fıragtı;çit
Fızlı;hızlı
Gacemer;becerikli
Gasbenek;zorla
Gıylı;tepsi
Girebi;küçük balta
Golan;i̇p
Gopça;elbise düğmesi
Gögümsü;olgunlaşmamış
Gurna;musluk
Harani;kazan
Hemşürem;bayan
İkbala;rastgele
İlen;leğen
İnge;yenge
İsin;hüseyin
Kemre;gübre
Kömüş;manda
Kenneşmek;tartışmak
Lapbanadak;aniden
Öndere;öküzlere gitmeleri vurulan çubuk dayak
Parpu;gözdağı
Pentul;pantolon
Pin;kümes
Sacayak;üzerinde kazan tencere kaynatılan üçayaklı demir
Sicim;i̇p
Siğirtmek;koşmak
Sovan;soğan
Şilte;i̇nce ip
Talle;tarla
Tam;ahır
Tor;lastik ayakkabı
Urgan;i̇p
Yanpiri;yan yürüyen
Yeğin;güzel
Yennük;hafif
Zaan;sahan
Zelve;boyunduruğun içinden geçirilip hayvanın boğazına bağlanan alet
Havza;çökme misafir kalma
Katık;yağı alınmış yoğurt
Keşik;sıra
İlkadım;ağaruk soluk renkli
Ağızlamak;yolcu etmek
Alaş;alaca renkli köpek
Badal;ev merdiveni
Basgancak;merdiven
Çuhurmak;kümes hayvanlarının ölecek bağırması
Diren;zayıf
Göynek;gömlek
Kıran tutmak;hayvanın ölmesi
Mizik;sinek
Samo;beceriksiz saf
Tuman;pijama
Kavak;abu abla büyük kız kardeş
Acuk;yabani elma
Aga;ağabey kabadayı
Ağa;abi
Ağartu;süt yoğurt ayran ürünler
Ağıl;davar barınağı
Ağmak;bir yeri tepeyi tümseği aşmak
Ağnamak;anlamak
Ağnanmak;yerde yuvarlanmak
Ağu;zehir acı yiyecek
Ahlat;yabani armut
Ahraz;saf avanak anlamayan
Alaf;hızlı yanan ateş
Alaş;alaca renkli köpek
Alemeşkere;herkesin gözü önünde herkesçe bilinen
Aluk;hayvanın beline semerden önce konulan çul
Amel;i̇shal
Analık;kaynana
Antere;entari gömlek
Asartma;genç ağaçlardan oluşan orman
Assuva;tuvalet
Aş;yemek kesme makarna
Aşurtma;büyükçe bakır kazan
Aşevi;mutfak yemek pişirilen oda
Aviyed;hediye müjde karşılığında verilen ödül
Ayakyolu;tuvalet
Aylak;bedava
Azık;dışarıda yenilecek yiyecek
Babalı;vebali günahı
Babalık;kayınpeder
Bacı;kız kardeş
Badik;kaz ördek yavrusu
Baldırcan;patlıcan
Bardaç Kurmak;ayakları altına kıvırarak oturmak
Baskancak;ağaç merdiven
Bencileyin;bana göre
Bıcımak;oyunbozanlık yapmak
Bıldır;geçen yıl
Bikıdım;
Bişi;mayalı hamurdan yağda kızartılarak yapılan ekmek
Bittire;tel saç tokası
Biz;kalın iğne
Bostan;küçük bahçe
Boz;gri ekilmemiş tarla
Börk;bere papak
Börtmek;meyve sebzelerin güneşten sıcaktan dolayı buruşması pişirmek
Börtük;güneşte buruşmuş meyve sebze
Böycük;böcek
Bulamaç;unla yapılan bir yemek
Burgu;elle çevrilen matkap
Buymak;üşümek
Büsürgeç;yufka çevirme aleti
Cannu;canlı sağ hareketli
Cayırlık;evlerin içinde yıkanmak kullanılan küçük bölüm
Cebelleş;bela
Cemek;sopanın arka kısmına takılan üçgen şeklindeki demir parçası
Cember;başörtüsü tülbent
Cenk;bakır küfü
Cerek;i̇nce uzun budaksız ağacın gövde kısmı
Cereme;ceza
Ceryan;elektrik
Cıfıt;cıvık bulaşık
Cılat;jilet bıçağı
Cılbak;çıplak
Cılga;patika keçi yolu
Cılk;i̇çi geçmiş bozulmuş bozuk yumurta
Cırmaklamak;tırmalamak
Cırnak;tırnak
Cırnaklama;tırnağı çizme
Cin parmak;serçe parmak
Comba;erkek manda yavrusu
Cücük;tavuk kuş yavrusu
Çağıl;harmanda samandan ayrılmış tane
Çalmaç;un bulamacı undan yapılan çorba
Çalmak;mayalamak
Çaluntu;yoğurt mayalanmış süt
Çaput;bez
Çıkı;bohça
Çıtak;i̇yi giyinen giyimine dikkat eden
Çiftelü;kıvrak akıllı cilveli
Çimmek;yıkanmak suda yüzmek
Çin;tunçtan yapılmış keçi manda çanı
Çizek;kara sabana takılan demir araç
Çolpa;beceriksiz sakar eli iş tutmayan
Çomça;kepçe yemek karıştırılan büyük tahta kaşık
Çotur;fazla gelişememiş ağaç fidanı karışık birbirine girmiş vaziyette
Çöğdürmek;i̇şemek
Çökürge;çekirge
Çökuç;çekiç
Çömelmek;yere çökmek
Çöpür;kırkılmış keçi kılı
Çul;kilim
Dalap;çiftleşmek isteyen eşek
Darsımak;dara düşmek sıkışmak
Dastar;pişirilen ekmeğin soğuması üzerine serilen kumaş sergi
Değmen;değirmen
Delme;yelek
Deynek;baston ihtiyarların yürürken dayandıkları özel çatallı ağaç
